Question,Option 1,Option 2,Option 3,Option 4,Don't Forget
It took me 10 minutes expressa?,Duração que algo levou,Eu peguei 10 minutos,Ficou 10 minutos,Me tomou 10 minutos,It takes/took me + tempo + to = estrutura fixa British English para dizer quanto tempo algo demorou.
Brilliant em British English significa?,Ótimo; excelente,Brilhante; luz,Inteligente,Diamante,Brilliant = British English comum para great; fantastic. Mais forte que good.
Qual spelling é British English?,Colour,Color,Colur,Collor,-our = British English: colour; favourite; honour. -or = American English: color; favorite; honor.
I was in hospital vs I was in the hospital?,I was in hospital = British English paciente,I was in the hospital = American English,São iguais,Ambos errados,British English tira o the com hospital; university; prison quando você está lá como paciente/aluno.
Phrasal verb para montar algo rápido?,Knock together,Knock down,Knock out,Knock over,Knock together = British English = montar/improvisar rápido. Ex: We knocked together a shelf.
Cheers pode significar?,Obrigado ou Tchau,Só saúde,Só parabéns,Só brinde,Cheers = British English multiuso: thanks; bye; toast. C1 entende contexto.
Qual correto para obrigação?,I have to pay today,I must to pay today,I have pay today,I must pay to today,Have to = obrigação externa. Must não usa to. Must to está errado.
Flat em British English é o quê em American English?,Apartment,Floor,Flat tire,Level,Flat = apartamento British English. Flat tyre = pneu furado. Cuidado contexto.
Which means vs that means?,Which means retoma oração anterior,That means é sempre errado,São iguais,Which means = pergunta,Which retoma ideia inteira anterior. That define substantivo. Ex: I quit which means I'm free.
Como dizer carona British English?,Lift,Ride,Carpool,Drive,Can you give me a lift? = British English. American English: Can you give me a ride?
Rubbish em British English significa?,Lixo; algo ruim,Borracha,Fricção,Esfregar,Rubbish = garbage American English. Também = nonsense: That's rubbish!
Qual preposição com on holiday?,Go on holiday,Go to holiday,Go for holiday,Go in holiday,Go on holiday = British English. American English: go on vacation. Colocação fixa.
To have a cuddle significa?,Dar um abraço/carinho,Ter uma briga,Ter cuidado,Abraçar forte,Cuddle = carinho; aconchego. British adora. Mais íntimo que hug.
Qual correto: different from ou different than?,Different from,Different than,Different to,Different of,Different from = padrão British English e formal. Different to = aceito British English informal. Different than = American English.
I can't be bothered significa?,Estou com preguiça; não quero fazer,Não me incomode,Estou ocupado,Não me importo,Can't be bothered = British English = não tô a fim; dá trabalho. C1 usa pra soar natural.
Biscuit em British English é o quê em American English?,Cookie,Biscuit,Cracker,Scone,Biscuit British English = cookie American English. Biscuit American English = pão tipo scone. Falso amigo famoso.
Qual phrasal verb = cancelar?,Call off,Call in,Call out,Call up,Call off = cancelar. Ex: We had to call off the meeting. Essencial C1.
Fortnight significa?,Duas semanas,Quatro noites,Quinze dias no mês,Final de semana,Fortnight = 14 nights = 2 semanas. British English comum. American English não usa.
To be made up em British English pode ser?,Estar muito feliz,Estar maquiado,Estar inventado,Estar pronto,Made up = British English informal = thrilled. Ex: I was made up with my results!
Qual spelling British English: theatre?,Theatre,Theater,Theatere,Theter,-re = British English: theatre; centre; metre. -er = American English: theater; center; meter.
Sort out significa?,Resolver; organizar,Separar,Escolher,Surtar,Sort out = phrasal verb chave British English = resolver problema; organizar. Ex: I need to sort out my bills.
Holiday em British English vs American English?,Holiday = férias British English; feriado American English,Holiday = sempre feriado,Holiday = só Natal,São iguais,Holiday British English = vacation. Bank holiday = feriado. American English: holiday = feriado.
Qual correto: in the street British English?,In the street,On the street,At the street,By the street,In the street = British English = na rua fisicamente. On the street = American English. On the streets British English = morador de rua.
Bloody em British English é?,Intensificador: droga; muito,Sangrento,Sangue,Abençoado,Bloody = British English informal intensificador. Ex: It's bloody cold! Não é palavrão pesado mas cuidado no formal.
Head to significa?,Ir em direção a,Cabeça para,Chefiar,Pensar em,Head to = phrasal verb = ir para. Ex: I'm heading to the gym. C1 usa direto.
Maths vs Math?,Maths = British English; Math = American English,Math = British English; Maths = American English,São iguais,Maths = plural,Maths = British English sempre com S. Math = American English sem S. Abreviação de mathematics.
To be skint em British English?,Estar sem dinheiro,Estar machucado,Estar magro,Estar com pele,Skint = British English gíria = broke; sem grana. Ex: I can't go out I'm skint.
Qual correto para de nada?,You're welcome / No worries,Your welcome,You welcome,You're welcomed,No worries = British English/Australian comum. You're welcome = neutro. Your = posse errado aqui.
To fancy something British English significa?,Querer; ter vontade,Chique,Fantasiar,Achar bonito,Fancy = British English = want. Ex: Do you fancy a cuppa? Também = achar atraente.
