Word,Class,CEFR,Translation,Meaning,Translation Meaning,Example 1,Example 2,Translation E1,Translation E2,Song/singer,Lyrics,Translation
absolute,adj.,B2,,,,,,,,,,
absolutely,adv.,B1,,,,,,,,,,
absorb,v.,B2,,,,,,,,,,
abstract,adj.,B2,,,,,,,,,,
absurd,adj.,C1,,,,,,,,Shania Twain - Don't!,"Don't be absurd, you know I want you","Não seja absurdo, sabe que te quero"
abundance,n.,C1,,,,,,,,,,
abuse,v.,C1,,,,,,,,,,
academic,adj.,B1,,,,,,,,,,
academic,n.,B2,,,,,,,,,,
academy,n.,C1,,,,,,,,,,
accelerate,v.,C1,,,,,,,,Elley Duhé - MONEY ON THE DASH,"Yeah, you see, I'm gettin' close, I accelerate","Sim, estás a ver, estou a chegar perto, acelero"
accent,n.,B2,,,,,,,,,,
accept,v.,A2,,,,,,,,Beyoncé - Run the World (Girls),To other men that respect what I do please accept my shine,"Para outros homens que respeitam o que eu faço, por favor, aceite meu brilho"
acceptable,adj.,B2,,,,,,,,,,
acceptance,n.,C1,,,,,,,,Katy Perry - Unconditionally,Acceptance is the key to be,A aceitação é a chave para ser
access,v.,B1,,,,,,,,,,
accessible,adj.,C1,,,,,,,,,,
accident,n.,A2,,,,,,,,Katy Perry - Rise,"This is no mistake, no accident","Isso não é engano, não é acidente"
accidentally,adv.,B2,,,,,,,,,,
accommodate,v.,B2,,,,,,,,,,
accommodation,n.,B1,,,,,,,,,,
accompany,v.,B2,,,,,,,,,,
accomplish,v.,B2,,,,,,,,,,
accomplishment,n.,C1,,,,,,,,,,
accordance,n.,C1,,,,,,,,,,
according to,prep.,A2,,,,,,,,,,
accordingly,adv.,C1,,,,,,,,,,
account,n.,B1,,,,,,,,,,
account,v.,B2,,,,,,,,,,
accountability,n.,C1,,,,,,,,,,
accountable,adj.,C1,,,,,,,,,,
accountant,n.,B2,,,,,,,,,,
accounting,n.,B2,,,,,,,,,,
accumulate,v.,C1,,,,,,,,,,
accumulation,n.,C1,,,,,,,,,,
accuracy,n.,B2,,,,,,,,,,
accurate,adj.,B2,,,,,,,,,,
accurately,adv.,B2,,,,,,,,,,
accusation,n.,C1,,,,,,,,,,
accuse,v.,B2,,,,,,,,,,
accused,n.,C1,,,,,,,,,,
achieve,v.,A2,,,,,,,,,,
achievement,n.,B1,,,,,,,,,,
acid,n.,B2,,,,,,,,Madonna - Music,Do you like my Acid Rock,Você gosta do meu Acid Rock
acid,adj.,C1,,,,,,,,Madonna - Music,Do you like my Acid Rock,Você gosta do meu Acid Rock
acknowledge,v.,B2,,,,,,,,,,
acquire,v.,B2,,,,,,,,,,
acquisition,n.,C1,,,,,,,,,,
acre,n.,C1,,,,,,,,,,
across,adv.,A1,,,,,,,,Sabrina Carpenter - Paris,Halfway across the world for me to notice,Do outro lado do mundo para eu notar
act,v.,A2,,,,,,,,Tiësto - Ritual,"However I act, you know how much I care","No entanto, eu ajo, você sabe o quanto eu me importo"
act,n.,B1,,,,,,,,Tiësto - Ritual,"However I act, you know how much I care","No entanto, eu ajo, você sabe o quanto eu me importo"
action,n.,A1,,,,,,,,Black Eyed Peas - ACTION,Black Eyed Peas — ACTION,Black Eyed Peas — AÇÃO
activate,v.,B2,,,,,,,,,,
activation,n.,C1,,,,,,,,,,
active,adj.,A2,,,,,,,,,,
activist,n.,C1,,,,,,,,,,
activity,n.,A1,,,,,,,,,,
actor,n.,A1,,,,,,,,,,
actress,n.,A1,,,,,,,,Taylor Swift - Look What You Made Me Do,I'll be the actress starring in your bad dreams,Serei a atriz que protagonizará os seus pesadelos
actual,adj.,B2,,,,,,,,,,
actually,adv.,A2,,,,,,,,,,
acute,adj.,C1,,,,,,,,,,
ad,n.,B1,,,,,,,,,,
adapt,v.,B2,,,,,,,,,,
adaptation,n.,C1,,,,,,,,,,
add,v.,A1,,,,,,,,Backstreet Boys - All I Have to Give,could never add up to,nunca poderia somar
addiction,n.,B2,,,,,,,,Ariana Grande - 7 rings,Think retail therapy my new addiction,Pense na terapia de compras como o meu novo vício
addition,n.,B1,,,,,,,,,,
additional,adj.,B2,,,,,,,,,,
additionally,adv.,B2,,,,,,,,,,
address,n.,A1,,,,,,,,Charli xcx - Guess featuring billie eilish,You wanna guess the address of the party we're at (You know you're not invited),Você quer adivinhar o endereço da festa em que estamos (você sabe que não foi convidado)
address,v.,B2,,,,,,,,Charli xcx - Guess featuring billie eilish,You wanna guess the address of the party we're at (You know you're not invited),Você quer adivinhar o endereço da festa em que estamos (você sabe que não foi convidado)
adequate,adj.,B2,,,,,,,,,,
adequately,adv.,B2,,,,,,,,,,
adhere,v.,C1,,,,,,,,,,
adj. A1,,,,,,,,,,,,
adjacent,adj.,C1,,,,,,,,,,
adjust,v.,B2,,,,,,,,,,
adjustment,n.,C1,,,,,,,,,,
administer,v.,C1,,,,,,,,,,
administration,n.,B2,,,,,,,,,,
administrative,adj.,C1,,,,,,,,,,
administrator,n.,C1,,,,,,,,,,
admire,v.,B1,,,,,,,,Madonna - American Pie,And the three men I admire the most,E os três homens que mais admiro
admission,n.,C1,,,,,,,,,,
admit,v.,B1,,,,,,,,Jaymes Young - Happiest Year - Sam Feldt Remix,I'm here to admit,Estou aqui para admitir
adolescent,n.,C1,,,,,,,,Destiny's Child - Lose My Breath,I know the difference of a man and an adolescent,Eu sei a diferença de um homem e um adolescente
adopt,v.,B2,,,,,,,,,,
adoption,n.,C1,,,,,,,,,,
adult,n.,A1,,,,,,,,,,
adult,adj.,A2,,,,,,,,,,
advance,adj.,B2,,,,,,,,Doja Cat - Boss Bitch,"I am advanced, so I get advance","Eu sou avançado, então eu recebo adiantamento"
advanced,adj.,B1,,,,,,,,Doja Cat - Boss Bitch,"I am advanced, so I get advance","Eu sou avançado, então eu recebo adiantamento"
advantage,n.,A2,,,,,,,,Halsey - Without Me,Just so you could take advantage of me,Só para que pudesse tirar proveito de mim
adventure,n.,A2,,,,,,,,,,
adverse,adj.,C1,,,,,,,,,,
advertise,v.,A2,,,,,,,,,,
advertisement,n.,A2,,,,,,,,,,
advertising,n.,A2,,,,,,,,,,
advice,n.,A1,,,,,,,,ILLENIUM - All That Really Matters,"If I could crawl in the mind, and give any advice to my younger self",Se eu pudesse rastejar na mente e dar algum conselho ao meu eu mais jovem
advise,v.,B1,,,,,,,,,,
advocate,v.,C1,,,,,,,,,,
aesthetic,adj.,C1,,,,,,,,Chappell Roan - My Kink Is Karma,"Ruined my credit, stole my cute aesthetic","Arruinou o meu crédito, roubou a minha estética fofa"
affair,n.,B2,,,,,,,,Jonas Blue - What I Like About You (feat. Theresa Rex),It's my affair,O assunto é meu
affect,v.,A2,,,,,,,,,,
affection,n.,C1,,,,,,,,Arlo Parks - Weightless,I'm starved of your affection,Estou faminto do seu carinho
afford,v.,B1,,,,,,,,Frank Walker - Only When It Rains,We keep on spending more than we can afford,Continuamos a gastar mais do que podemos pagar
affordable,adj.,B2,,,,,,,,,,
afraid,adj.,A1,,,,,,,,Halsey - Without Me,I was afraid to leave you on your own,Eu estava com medo de deixá-la sozinha
after,prep.,A1,,,,,,,,Matt Simons - After The Landslide - Remix,Matt Simons — After The Landslide - Remix,
after,adv.,A2,,,,,,,,Matt Simons - After The Landslide - Remix,Matt Simons — After The Landslide - Remix,
aftermath,n.,C1,,,,,,,,,,
afternoon,n.,A1,,,,,,,,P!nk - Bad Influence,So what if it's only one o'clock in the afternoon,E daí se for apenas uma hora da tarde
afterwards,adv.,B2,,,,,,,,,,
again,adv.,A1,,,,,,,,INNERVERSE - Life with You,"If I hold you, can we start again?","Se eu te abraçar, podemos começar de novo?"
against,prep.,A2,,,,,,,,Jonas Blue - What I Like About You (feat. Theresa Rex),I tried to fight against it,Eu tentei lutar contra isso
age,n.,A1,,,,,,,,Britney Spears - I'm a Slave 4 U,Leaving behind my name and age (let's go),Deixando para trás o meu nome e idade (vamos lá)
age,v.,B1,,,,,,,,Britney Spears - I'm a Slave 4 U,Leaving behind my name and age (let's go),Deixando para trás o meu nome e idade (vamos lá)
aged,adj.,B1,,,,,,,,,,
agency,n.,B2,,,,,,,,,,
agenda,n.,B2,,,,,,,,,,
agent,n.,B1,,,,,,,,Madonna - American Life,An agent and a chef,Um agente e um chef
aggression,n.,C1,,,,,,,,,,
aggressive,adj.,B2,,,,,,,,,,
ago,adv.,A1,,,,,,,,N.F.I - Don't Talk To Me (feat. Riton & Faangs) (feat. Riton),"You could have said ""hey"" like a half hour ago","Podia ter dito ""olá"" há meia hora"
agree,v.,A1,,,,,,,,Dua Lipa - Physical,Don't you agree?,Ou você discorda?????
agreement,n.,B1,,,,,,,,,,
agricultural,adj.,C1,,,,,,,,,,
agriculture,n.,B2,,,,,,,,,,
ah,exclam.,A2,,,,,,,,Jazzy - No Bad Vibes,"Oh-ah, oh-ah, oh-ah",
ahead,adv.,B1,,,,,,,,Katy Perry - Harleys In Hawaii,"Go ahead, explore the island","Vá em frente, explore a ilha"
aid,v.,B2,,,,,,,,,,
aide,n.,C1,,,,,,,,,,
aim,n.,B1,,,,,,,,BANKS - Beggin For Thread - Gryffin & Hotel Garuda Remix,But I can aim it at you,Mas posso apontar para você
air,n.,A1,,,,,,,,5 Seconds of Summer - Easier - Seeb Remix,"You know we need it like the air we breathe, air we breathe, yeah","Você sabe que precisamos disso como o ar que respiramos, o ar que respiramos, sim"
aircraft,n.,B2,,,,,,,,,,
airline,n.,A2,,,,,,,,,,
airport,n.,A1,,,,,,,,,,
alarm,n.,B1,,,,,,,,Beyoncé - Ring the Alarm,Beyoncé — Ring the Alarm,Beyoncé — Toque o alarme
alarm,v.,B2,,,,,,,,Beyoncé - Ring the Alarm,Beyoncé — Ring the Alarm,Beyoncé — Toque o alarme
albeit,conj.,C1,,,,,,,,,,
album,n.,B1,,,,,,,,OneRepublic - Secrets,Just write it into an album,Basta escrevê-lo num álbum
alcohol,n.,B1,,,,,,,,Dua Lipa - Hotter than Hell,As my kiss goes down you like some sweet alcohol,"Enquanto meu beijo desce, você gosta de um pouco de álcool doce"
alcoholic,adj.,B1,,,,,,,,,,
alert,adj.,C1,,,,,,,,,,
alien,n.,B2,,,,,,,,Katy Perry - E.T.,"Boy, you're an alien","Rapaz, você é um alienígena"
alien,adj.,C1,,,,,,,,Katy Perry - E.T.,"Boy, you're an alien","Rapaz, você é um alienígena"
align,v.,C1,,,,,,,,ARTY - Take Your Time - D.O.D Remix,The stars align,As estrelas se alinham
alignment,n.,C1,,,,,,,,,,
alike,adj.,C1,,,,,,,,Justin Timberlake - Like I Love You,you my a alike,
alive,adj.,A2,,,,,,,,Matt Simons - After The Landslide - Remix,Now we're fighting just to stay alive,Agora estamos a lutar apenas para nos mantermos vivos
all,pron.,A1,,,,,,,,Ryan Skyy - Lovestruck,I'm giving all of me,Vou dar tudo de mim
all,adv.,A2,,,,,,,,Ryan Skyy - Lovestruck,I'm giving all of me,Vou dar tudo de mim
all right,exclam.,A2,,,,,,,,Daniel Bedingfield - Gotta Get Thru This,Give me just a second and I'll be all right,Dê-me só um segundo e ficarei bem
allegation,n.,C1,,,,,,,,,,
allege,v.,C1,,,,,,,,,,
allegedly,adv.,C1,,,,,,,,,,
alliance,n.,C1,,,,,,,,,,
allocate,v.,C1,,,,,,,,,,
allocation,n.,C1,,,,,,,,,,
allow,v.,A2,,,,,,,,Alle Farben - I Need to Know (feat. Flynn),But my head won't allow me,Mas a minha cabeça não me permite
allowance,n.,C1,,,,,,,,,,
ally,n.,C1,,,,,,,,AFROJACK - All Night (feat. Ally Brooke),AFROJACK — All Night (feat. Ally Brooke),
almost,adv.,A2,,,,,,,,Jonas Blue - Naked,Almost let you break my heart,Quase te deixei partir o meu coração
alone,adj./adv.,A2,,,,,,,,INNERVERSE - Reverie,No longer drift alone,Já não se desloca sozinho
along,adv.,A2,,,,,,,,Alle Farben - Fading,Couple turns along the road,Algumas curvas ao longo da estrada
alongside,prep.,B2,,,,,,,,Beyoncé - Baby Boy (feat. Sean Paul),sean paul alongside - now hear what da man say - beyonce,sean paul ao lado - agora ouça o que da man diz - beyonce
already,adv.,A2,,,,,,,,D.O.D - Love Nor Money,"You hold me steady, and I already know, I already know","Você me segura firme, e eu já sei, eu já sei"
also,adv.,A1,,,,,,,,,,
alter,v.,B2,,,,,,,,,,
alternative,n.,A2,,,,,,,,,,
alternative,adj.,B1,,,,,,,,,,
although,conj.,A2,,,,,,,,Backstreet Boys - As Long as You Love Me,Although loneliness has always been a friend of mine,Embora a solidão sempre tenha sido minha amiga
altogether,adv.,B2,,,,,,,,,,
aluminium,n.,C1,,,,,,,,,,
always,adv.,A1,,,,,,,,FISHER - Atmosphere,"Always want you by my side (side, side, side, side)","Sempre te quero ao meu lado (lado, lado, lado, lado)"
amateur,n.,C1,,,,,,,,,,
amazed,adj.,B1,,,,,,,,,,
amazing,adj.,A1,,,,,,,,Alessia Cara - OKAY OKAY,Cause everyone's allowed to feel amazing,Porque todos podem sentir-se incríveis
ambassador,n.,C1,,,,,,,,,,
ambition,n.,B1,,,,,,,,P!nk - Stupid Girls,Outcasts and girls with ambition,Párias e raparigas com ambição
ambitious,adj.,B1,,,,,,,,,,
ambulance,n.,B2,,,,,,,,,,
amend,v.,C1,,,,,,,,,,
amendment,n.,C1,,,,,,,,,,
amid,prep.,C1,,,,,,,,,,
among,prep.,A2,,,,,,,,Imagine Dragons - Eyes Closed,They say that angels are among us,Dizem que os anjos estão entre nós.
amount,n.,A2,,,,,,,,,,
amount,v.,B2,,,,,,,,,,
amusing,adj.,B2,,,,,,,,Dua Lipa - Illusion,"I be like, ""Ooh, it's amusing""","Eu fico tipo, ""Ooh, é divertido"""
analogy,n.,C1,,,,,,,,,,
analyse,v.,B1,,,,,,,,,,
analysis,n.,B1,,,,,,,,,,
analyst,n.,B2,,,,,,,,,,
ancestor,n.,B2,,,,,,,,,,
anchor,n.,C1,,,,,,,,,,
ancient,adj.,A2,,,,,,,,,,
and,conj.,A1,,,,,,,,Gravagerz - Help Me Lose My Mind,Talk to me and watch me crumble,Fale comigo e veja-me desmoronar
angel,n.,C1,,,,,,,,Becky Hill - Heaven On My Mind (with Sigala),"Oh, angel of mine","Oh, anjo meu"
anger,n.,B2,,,,,,,,Beyoncé - Break My Soul,"Release ya anger, release ya mind","Liberta a tua raiva, liberta a tua mente"
angle,n.,B2,,,,,,,,,,
angrily,adv.,A2,,,,,,,,,,
angry,adj.,A1,,,,,,,,Lady Gaga - Sour Candy (with BLACKPINK),"I'm sour candy, so sweet then I get a little angry, yeah","Sou um doce azedo, tão doce que fico com um pouco de raiva, sim"
animal,n.,A1,,,,,,,,Billie Eilish - bad guy,I'll be your animal,Serei o seu animal
animation,n.,B2,,,,,,,,,,
ankle,n.,A2,,,,,,,,,,
anniversary,n.,B2,,,,,,,,,,
announce,v.,B1,,,,,,,,,,
announcement,n.,B1,,,,,,,,,,
annoy,v.,B1,,,,,,,,P!nk - Don't Let Me Get Me,Its bad when you annoy yourself,É ruim quando se aborrece
annoyed,adj.,B1,,,,,,,,,,
annoying,adj.,B1,,,,,,,,,,
annual,adj.,B2,,,,,,,,,,
annually,adv.,B2,,,,,,,,,,
anonymous,adj.,C1,,,,,,,,Sigrid - Mirror,I felt anonymous,Senti-me anónima
another,det./pron.,A1,,,,,,,,Kito - Wild Girl - Paul Woolford Remix,Gather me from one place to another,Reúna-me de um lugar para outro
answer,v.,A1,,,,,,,,John Summit - Thin Line,So who's gonna give us the answer? (sister and brother),"Então, quem vai nos dar a resposta? (irmã e irmão)"
anticipate,v.,B2,,,,,,,,,,
anxiety,n.,B2,,,,,,,,,,
anxious,adj.,B2,,,,,,,,Jonas Blue - Desperate,"Oh, all this tension, it makes me anxious","Ah, toda essa tensão, isso me deixa ansiosa"
any,pron.,A1,,,,,,,,PALASTIC - The Darkside,I'll take any high,Vou levar qualquer alta
any,adv.,A2,,,,,,,,PALASTIC - The Darkside,I'll take any high,Vou levar qualquer alta
any more,adv.,A2,,,,,,,,Avril Lavigne - Sk8er Boi,"He was a boy She was a girl Can I make it anymore obvious He was a punk She did ballet What more can I say He wanted her And She'd never tell, but secretly she wanted him as well But all of her friends Stuck up their nose They had a problem with his baggy clothes He was a skater boy She said see you later boy He wasn't good enough for her She had a pretty face But her head was up in space She needed to come back down to earth 5 years from now She sits at home Feeding the baby she's all alone She turns on tv Guess who she sees Skater boy rockin up MTV she calls up her friends They already know And they've all got Tickets to see his show She tags along Stands in the crowd Looks up at the man that she turned down He was a skater boy She said see you later boy He wasn't good enough for her Now he's a super star Slamming on his guitar Does your pretty face see what he's worth? He was a skater boy She said see you later boy He wasn't good enough for her Now he's a super star Slamming on his guitar Does your pretty face see what he's worth? Sorry girl but you missed out Well tough luck that boy's mine now We are more than just good friends This is how the story ends Too bad that you couldn't see, See the man that boy could be There is more than meets the eye I see the soul that is inside He's just a boy And Im just a girl Can I make it any more obvious We are in love Haven't you heard How we rock each others world I'm with the skater boy I said see you later boy I'll be back stage after the show I'll be at the studio Singing the song we wrote About a girl you used to know I'm with the skater boy I said see you later boy I'll be back stage after the show I'll be at the studio Singing the song we wrote About a girl you used to know","Ele era um menino Ela era uma menina Posso tornar mais óbvio Ele era um punk Ela fazia balé O que mais posso dizer Ele a queria E ela nunca diria, mas secretamente ela o queria também Mas todos os seus amigos Enfiaram o nariz Eles tinham um problema com suas roupas largas Ele era um skatista Ela disse te ver mais tarde garoto Ele não era bom o suficiente para ela Ela tinha um rosto bonito Mas sua cabeça estava no espaço Ela precisava voltar para a terra Daqui a 5 anos Ela se senta em casa Alimentando o bebê Ela está sozinha Ela"
anybody,pron.,A2,,,,,,,,Halsey - Sorry,That anybody ever really,Que alguém alguma vez realmente
anyone,pron.,A1,,,,,,,,Alessia Cara - Growing Pains,"More than I'd like to admit but I can't lie to myself, to anyone","Mais do que eu gostaria de admitir, mas não posso mentir para mim mesmo, para ninguém"
anything,pron.,A1,,,,,,,,Aexcit - Never Be Like You,I would give anything to change this fickle-minded heart,Eu daria qualquer coisa para mudar esse coração inconstante
anyway,adv.,A2,,,,,,,,ReMix Kings - Stolen Dance 2016 (Tropical Mix),Your heart is too strong anyway,Seu coração é muito forte de qualquer maneira
anywhere,pron.,A2,,,,,,,,Katy Perry - Tucked,"Yeah, you're anywhere I want you to be","Sim, você está em qualquer lugar que eu queira que esteja"
apart,adv.,B1,,,,,,,,Punctual - Lifeline,Fall apart,SepararComment
apartment,n.,A1,,,,,,,,NOTD - So Close,When you left your T-shirt at my old apartment,Quando deixaste a tua t-shirt no meu antigo apartamento
apologize,v.,B1,,,,,,,,Ariana Grande - bloodline,"Ain't no need to apologize, no","Não há necessidade de se desculpar, não"
apology,n.,B2,,,,,,,,Beyoncé - Baby Boy (feat. Sean Paul),a dat da girl dem need and dem not stop cry without apology,
app,n.,A2,,,,,,,,,,
apparatus,n.,C1,,,,,,,,,,
apparent,adj.,B2,,,,,,,,,,
apparently,adv.,B2,,,,,,,,,,
appeal,v.,B2,,,,,,,,OneRepublic - Stop and Stare,Time to make one last appeal... for the life I lead,Hora de fazer um último apelo... pela vida que levo
appealing,adj.,C1,,,,,,,,Beyoncé - Déjà Vu (feat. Jay-Z),Your sexiness is so appealing,Sua sensualidade é tão atraente
appear,v.,A2,,,,,,,,Macy Gray - I Try,I may appear to be free,Posso parecer livre
appearance,n.,A2,,,,,,,,,,
appetite,n.,C1,,,,,,,,Jonas Blue - Naked,Appetite for delight no limit,Apetite por deleite sem limite
applaud,v.,C1,,,,,,,,,,
apple,n.,A1,,,,,,,,Coldplay - Clocks,Shoot an apple off my head and a,Atire uma maçã na minha cabeça e um
applicable,adj.,C1,,,,,,,,,,
applicant,n.,B2,,,,,,,,,,
application,n.,B1,,,,,,,,,,
apply,v.,A2,,,,,,,,,,
appoint,v.,C1,,,,,,,,,,
appointment,n.,B1,,,,,,,,,,
appreciate,v.,B1,,,,,,,,Pussycat Dolls - Stickwitu,You know how to appreciate me,Você sabe como me apreciar
appreciation,n.,C1,,,,,,,,,,
approach,v.,B2,,,,,,,,Beyoncé - Video Phone (feat. Lady Gaga),I love how you approach me,Adoro como se aproxima de mim
appropriate,adj.,B2,,,,,,,,,,
appropriately,adv.,B2,,,,,,,,,,
approval,n.,B2,,,,,,,,,,
approve,v.,B2,,,,,,,,,,
approximately,adv.,B1,,,,,,,,,,
April,n.,A1,,,,,,,,Chappell Roan - My Kink Is Karma,Six months since April and I'm doing better,Seis meses desde abril e estou melhor
arbitrary,adj.,C1,,,,,,,,Josef Salvat - Open Season,Head on down this very arbitrary road,Siga por esta estrada muito arbitrária
architect,n.,A2,,,,,,,,,,
architectural,adj.,C1,,,,,,,,,,
architecture,n.,A2,,,,,,,,,,
archive,n.,C1,,,,,,,,,,
area,n.,A1,,,,,,,,BLACKPINK - How You Like That,BLACKPINK in your area,BLACKPINK na sua área
arena,n.,C1,,,,,,,,Britney Spears - Lucky,"""I'm Roger Johnson for Pop News standing outside the arena waiting for Lucky""","""Sou Roger Johnson, do Pop News, do lado de fora da arena, esperando por Lucky"""
arguably,adv.,C1,,,,,,,,,,
argue,v.,A2,,,,,,,,Kygo - Woke Up in Love,They don't fight but I still argue for the hell of it,"Eles não lutam, mas eu ainda argumento por isso"
argument,n.,A2,,,,,,,,,,
arise,v.,B2,,,,,,,,,,
arm,n.,A1,,,,,,,,Taylor Swift - Mine,You put your arm around me for the first time,Você colocou o braço em volta de mim pela primeira vez
arm,v.,C1,,,,,,,,Taylor Swift - Mine,You put your arm around me for the first time,Você colocou o braço em volta de mim pela primeira vez
armed,adj.,B2,,,,,,,,,,
arms,n.,B2,,,,,,,,INNERVERSE - Life with You,When I’m not still asleep in your arms,Quando ainda não estou dormindo nos seus braços
army,n.,A2,,,,,,,,,,
around,adv.,A1,,,,,,,,FISHER - Atmosphere,"Call me up, I'll come around","Ligue-me, eu vou dar a volta"
arrange,v.,A2,,,,,,,,,,
arrangement,n.,A2,,,,,,,,,,
array,n.,C1,,,,,,,,,,
arrest,n.,B1,,,,,,,,Katy Perry - Last Friday Night (T.G.I.F.),Warrant's out for my arrest,Mandado de prisão emitido para mim
arrival,n.,B1,,,,,,,,Christina Aguilera - Dirrty,It's about time for my arrival,Já era hora da minha chegada
arrive,v.,A1,,,,,,,,P!nk - Get the Party Started,Everybody's waitin' for me to arrive,Todos estão à espera que eu chegue
arrow,n.,B2,,,,,,,,Ellie Goulding - Like A Saviour,Shot with your arrow,Tiro com a flecha
art,n.,A1,,,,,,,,Kelly Clarkson - mine (Ty Sunderland Remix),"Sabotage, your choice of art","Sabotagem, a sua escolha de arte"
